1437882.AZRU01000031_gene87,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,98.9
1437882.AZRU01000057_gene4224,ddpX,D-alanyl-D-alanine&nbsp;dipeptidase,77.1
1437882.AZRU01000117_gene4317,purF,Amidophosphoribosyltransferase,77.1
1437882.AZRU01000034_gene417,AZRU01000034_gene417,annotation&nbsp;not&nbsp;available,77.1
1437882.AZRU01000017_gene6454,AZRU01000017_gene6454,annotation&nbsp;not&nbsp;available,77.1
1437882.AZRU01000138_gene1054,AZRU01000138_gene1054,annotation&nbsp;not&nbsp;available,77.0
1437882.AZRU01000069_gene2783,AZRU01000069_gene2783,annotation&nbsp;not&nbsp;available,77.0
1437882.AZRU01000211_gene2510,AZRU01000211_gene2510,annotation&nbsp;not&nbsp;available,77.0
1437882.AZRU01000005_gene1397,AZRU01000005_gene1397,annotation&nbsp;not&nbsp;available,77.0
1437882.AZRU01000069_gene2785,mlaD,annotation&nbsp;not&nbsp;available,77.0
1437882.AZRU01000020_gene6171,AZRU01000020_gene6171,annotation&nbsp;not&nbsp;available,77.0
1437882.AZRU01000001_gene2059,AZRU01000001_gene2059,annotation&nbsp;not&nbsp;available,76.9
1437882.AZRU01000013_gene6915,AZRU01000013_gene6915,annotation&nbsp;not&nbsp;available,76.9
1437882.AZRU01000041_gene4502,rpoE,annotation&nbsp;not&nbsp;available,76.9
1437882.AZRU01000001_gene2021,rpmG,annotation&nbsp;not&nbsp;available,76.9
1437882.AZRU01000027_gene794,AZRU01000027_gene794,annotation&nbsp;not&nbsp;available,76.9
1437882.AZRU01000030_gene194,AZRU01000030_gene194,annotation&nbsp;not&nbsp;available,76.8
1437882.AZRU01000041_gene4533,AZRU01000041_gene4533,annotation&nbsp;not&nbsp;available,76.8
1437882.AZRU01000033_gene493,rlmL,Ribosomal&nbsp;RNA&nbsp;large&nbsp;subunit&nbsp;methyltransferase&nbsp;K/L,76.8
1437882.AZRU01000078_gene4010,betB,NAD/NADP-dependent&nbsp;betaine&nbsp;aldehyde&nbsp;dehydrogenase,76.8
1437882.AZRU01000001_gene2154,AZRU01000001_gene2154,annotation&nbsp;not&nbsp;available,76.8
1437882.AZRU01000019_gene6088,pip,annotation&nbsp;not&nbsp;available,76.8
1437882.AZRU01000097_gene1100,AZRU01000097_gene1100,annotation&nbsp;not&nbsp;available,76.8
1437882.AZRU01000046_gene5110,gcvP,Glycine&nbsp;dehydrogenase&nbsp;(decarboxylating),76.8
1437882.AZRU01000001_gene2201,AZRU01000001_gene2201,annotation&nbsp;not&nbsp;available,76.7
1437882.AZRU01000130_gene6805,AZRU01000130_gene6805,Flagellar&nbsp;biosynthetic&nbsp;protein&nbsp;FliP,76.7
1437882.AZRU01000083_gene6836,AZRU01000083_gene6836,annotation&nbsp;not&nbsp;available,76.7
1437882.AZRU01000044_gene6602,AZRU01000044_gene6602,annotation&nbsp;not&nbsp;available,76.7
1437882.AZRU01000030_gene140,AZRU01000030_gene140,annotation&nbsp;not&nbsp;available,76.6
1437882.AZRU01000211_gene2571,AZRU01000211_gene2571,annotation&nbsp;not&nbsp;available,76.6
1437882.AZRU01000022_gene6312,AZRU01000022_gene6312,annotation&nbsp;not&nbsp;available,76.6
1437882.AZRU01000030_gene188,flhA,Flagellar&nbsp;biosynthesis&nbsp;protein&nbsp;FlhA,76.6
1437882.AZRU01000005_gene1371,AZRU01000005_gene1371,annotation&nbsp;not&nbsp;available,76.6
1437882.AZRU01000049_gene5273,AZRU01000049_gene5273,annotation&nbsp;not&nbsp;available,76.6
1437882.AZRU01000021_gene6261,hflK,Protein&nbsp;HflK,76.6
1437882.AZRU01000042_gene4573,AZRU01000042_gene4573,annotation&nbsp;not&nbsp;available,76.6
1437882.AZRU01000076_gene1154,AZRU01000076_gene1154,annotation&nbsp;not&nbsp;available,76.6
1437882.AZRU01000014_gene3130,AZRU01000014_gene3130,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000010_gene608,AZRU01000010_gene608,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000033_gene526,AZRU01000033_gene526,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000034_gene456,AZRU01000034_gene456,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000005_gene1366,AZRU01000005_gene1366,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000011_gene3595,AZRU01000011_gene3595,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000013_gene6983,AZRU01000013_gene6983,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000001_gene2010,AZRU01000001_gene2010,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000130_gene6803,AZRU01000130_gene6803,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000011_gene3664,AZRU01000011_gene3664,annotation&nbsp;not&nbsp;available,76.5
1437882.AZRU01000116_gene4299,AZRU01000116_gene4299,annotation&nbsp;not&nbsp;available,76.4
1437882.AZRU01000045_gene4788,AZRU01000045_gene4788,annotation&nbsp;not&nbsp;available,76.4
1437882.AZRU01000109_gene3102,AZRU01000109_gene3102,annotation&nbsp;not&nbsp;available,76.4
1437882.AZRU01000025_gene5908,AZRU01000025_gene5908,annotation&nbsp;not&nbsp;available,76.4
1437882.AZRU01000001_gene2023,AZRU01000001_gene2023,annotation&nbsp;not&nbsp;available,76.4
1437882.AZRU01000014_gene3215,AZRU01000014_gene3215,annotation&nbsp;not&nbsp;available,76.4
1437882.AZRU01000016_gene3310,ligA,DNA&nbsp;ligase,76.4
1437882.AZRU01000041_gene4504,AZRU01000041_gene4504,annotation&nbsp;not&nbsp;available,76.3
1437882.AZRU01000034_gene436,AZRU01000034_gene436,annotation&nbsp;not&nbsp;available,76.3
1437882.AZRU01000064_gene7065,AZRU01000064_gene7065,annotation&nbsp;not&nbsp;available,76.3
1437882.AZRU01000035_gene334,AZRU01000035_gene334,annotation&nbsp;not&nbsp;available,76.3
1437882.AZRU01000004_gene1796,AZRU01000004_gene1796,annotation&nbsp;not&nbsp;available,76.3
1437882.AZRU01000010_gene599,AZRU01000010_gene599,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000009_gene923,AZRU01000009_gene923,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000017_gene6456,AZRU01000017_gene6456,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000023_gene5680,fahA,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000045_gene4761,AZRU01000045_gene4761,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000113_gene4982,AZRU01000113_gene4982,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000067_gene5427,AZRU01000067_gene5427,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000023_gene5686,AZRU01000023_gene5686,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000017_gene6381,AZRU01000017_gene6381,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000006_gene1593,AZRU01000006_gene1593,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000025_gene5916,AZRU01000025_gene5916,annotation&nbsp;not&nbsp;available,76.2
1437882.AZRU01000052_gene3828,AZRU01000052_gene3828,annotation&nbsp;not&nbsp;available,76.1
1437882.AZRU01000001_gene2105,AZRU01000001_gene2105,annotation&nbsp;not&nbsp;available,76.1
1437882.AZRU01000053_gene3666,AZRU01000053_gene3666,annotation&nbsp;not&nbsp;available,76.1
1437882.AZRU01000035_gene360,AZRU01000035_gene360,annotation&nbsp;not&nbsp;available,76.1
1437882.AZRU01000053_gene3680,AZRU01000053_gene3680,annotation&nbsp;not&nbsp;available,76.1
1437882.AZRU01000080_gene3975,rdgB,dITP/XTP&nbsp;pyrophosphatase,76.1
1437882.AZRU01000026_gene5942,AZRU01000026_gene5942,annotation&nbsp;not&nbsp;available,76.0
1437882.AZRU01000066_gene6737,AZRU01000066_gene6737,annotation&nbsp;not&nbsp;available,76.0
1437882.AZRU01000016_gene3268,AZRU01000016_gene3268,annotation&nbsp;not&nbsp;available,76.0
1437882.AZRU01000001_gene2140,AZRU01000001_gene2140,annotation&nbsp;not&nbsp;available,76.0
1437882.AZRU01000058_gene4168,AZRU01000058_gene4168,annotation&nbsp;not&nbsp;available,76.0
1437882.AZRU01000057_gene4187,AZRU01000057_gene4187,annotation&nbsp;not&nbsp;available,76.0
1437882.AZRU01000128_gene5275,AZRU01000128_gene5275,annotation&nbsp;not&nbsp;available,75.9
1437882.AZRU01000027_gene805,AZRU01000027_gene805,annotation&nbsp;not&nbsp;available,75.9
1437882.AZRU01000139_gene1064,AZRU01000139_gene1064,annotation&nbsp;not&nbsp;available,75.9
1437882.AZRU01000026_gene6003,AZRU01000026_gene6003,annotation&nbsp;not&nbsp;available,75.9
1437882.AZRU01000009_gene905,AZRU01000009_gene905,annotation&nbsp;not&nbsp;available,75.9
1437882.AZRU01000009_gene901,AZRU01000009_gene901,annotation&nbsp;not&nbsp;available,75.8
1437882.AZRU01000016_gene3267,AZRU01000016_gene3267,annotation&nbsp;not&nbsp;available,75.8
1437882.AZRU01000048_gene5207,AZRU01000048_gene5207,annotation&nbsp;not&nbsp;available,75.8
1437882.AZRU01000004_gene1798,AZRU01000004_gene1798,annotation&nbsp;not&nbsp;available,75.8
1437882.AZRU01000045_gene4758,AZRU01000045_gene4758,annotation&nbsp;not&nbsp;available,75.8
1437882.AZRU01000051_gene5350,AZRU01000051_gene5350,annotation&nbsp;not&nbsp;available,75.8
1437882.AZRU01000077_gene4006,AZRU01000077_gene4006,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000061_gene4035,AZRU01000061_gene4035,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000013_gene6994,AZRU01000013_gene6994,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000055_gene3764,AZRU01000055_gene3764,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000061_gene4076,AZRU01000061_gene4076,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000086_gene5524,AZRU01000086_gene5524,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000059_gene4153,AZRU01000059_gene4153,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000036_gene262,AZRU01000036_gene262,annotation&nbsp;not&nbsp;available,75.7
1437882.AZRU01000100_gene4288,rpsD,30S&nbsp;ribosomal&nbsp;protein&nbsp;S4,75.6
1437882.AZRU01000041_gene4480,AZRU01000041_gene4480,annotation&nbsp;not&nbsp;available,75.6
1437882.AZRU01000091_gene4861,AZRU01000091_gene4861,annotation&nbsp;not&nbsp;available,75.6
1437882.AZRU01000057_gene4233,AZRU01000057_gene4233,annotation&nbsp;not&nbsp;available,75.6
1437882.AZRU01000050_gene5296,AZRU01000050_gene5296,annotation&nbsp;not&nbsp;available,75.6
1437882.AZRU01000006_gene1495,lptF,annotation&nbsp;not&nbsp;available,75.6
1437882.AZRU01000032_gene4,AZRU01000032_gene4,annotation&nbsp;not&nbsp;available,75.6
1437882.AZRU01000012_gene3475,AZRU01000012_gene3475,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000026_gene5940,AZRU01000026_gene5940,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000017_gene6369,AZRU01000017_gene6369,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000026_gene5967,AZRU01000026_gene5967,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000012_gene3473,AZRU01000012_gene3473,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000047_gene5102,AZRU01000047_gene5102,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000004_gene1948,AZRU01000004_gene1948,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000001_gene2143,AZRU01000001_gene2143,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000012_gene3435,argC,N-acetyl-gamma-glutamyl-phosphate&nbsp;reductase,75.5
1437882.AZRU01000100_gene4289,rpsK,30S&nbsp;ribosomal&nbsp;protein&nbsp;S11,75.5
1437882.AZRU01000023_gene5699,AZRU01000023_gene5699,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000024_gene5767,AZRU01000024_gene5767,annotation&nbsp;not&nbsp;available,75.5
1437882.AZRU01000007_gene2979,AZRU01000007_gene2979,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000096_gene1078,AZRU01000096_gene1078,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000004_gene1824,AZRU01000004_gene1824,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000001_gene2203,AZRU01000001_gene2203,Ornithine&nbsp;carbamoyltransferase,75.4
1437882.AZRU01000016_gene3324,AZRU01000016_gene3324,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000033_gene497,AZRU01000033_gene497,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000028_gene759,AZRU01000028_gene759,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000002_gene2373,AZRU01000002_gene2373,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000150_gene3863,AZRU01000150_gene3863,annotation&nbsp;not&nbsp;available,75.4
1437882.AZRU01000032_gene33,AZRU01000032_gene33,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000041_gene4517,AZRU01000041_gene4517,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000044_gene6613,cadR,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000081_gene6689,AZRU01000081_gene6689,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000012_gene3474,AZRU01000012_gene3474,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000002_gene2275,AZRU01000002_gene2275,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000027_gene787,AZRU01000027_gene787,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000004_gene1791,AZRU01000004_gene1791,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000030_gene150,AZRU01000030_gene150,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000097_gene1096,AZRU01000097_gene1096,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000100_gene4292,rplO,50S&nbsp;ribosomal&nbsp;protein&nbsp;L15,75.3
1437882.AZRU01000008_gene2899,AZRU01000008_gene2899,annotation&nbsp;not&nbsp;available,75.3
1437882.AZRU01000023_gene5722,AZRU01000023_gene5722,annotation&nbsp;not&nbsp;available,75.2
1437882.AZRU01000008_gene2911,AZRU01000008_gene2911,annotation&nbsp;not&nbsp;available,75.2
1437882.AZRU01000048_gene5197,AZRU01000048_gene5197,annotation&nbsp;not&nbsp;available,75.2
1437882.AZRU01000001_gene2187,AZRU01000001_gene2187,Dihydrofolate&nbsp;reductase,75.2
1437882.AZRU01000031_gene54,AZRU01000031_gene54,annotation&nbsp;not&nbsp;available,75.2
1437882.AZRU01000048_gene5205,AZRU01000048_gene5205,annotation&nbsp;not&nbsp;available,75.2
1437882.AZRU01000212_gene1007,AZRU01000212_gene1007,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000026_gene5968,AZRU01000026_gene5968,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000037_gene4408,AZRU01000037_gene4408,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000002_gene2274,AZRU01000002_gene2274,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000060_gene4116,cls,Cardiolipin&nbsp;synthase&nbsp;A,75.1
1437882.AZRU01000004_gene1814,AZRU01000004_gene1814,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000016_gene3334,AZRU01000016_gene3334,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000077_gene3999,AZRU01000077_gene3999,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000030_gene153,AZRU01000030_gene153,Flagellar&nbsp;M-ring&nbsp;protein,75.1
1437882.AZRU01000069_gene2774,AZRU01000069_gene2774,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000049_gene5262,AZRU01000049_gene5262,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000047_gene5082,AZRU01000047_gene5082,annotation&nbsp;not&nbsp;available,75.1
1437882.AZRU01000021_gene6218,AZRU01000021_gene6218,annotation&nbsp;not&nbsp;available,75.0
1437882.AZRU01000045_gene4747,AZRU01000045_gene4747,2-dehydropantoate&nbsp;2-reductase,75.0
1437882.AZRU01000023_gene5705,AZRU01000023_gene5705,annotation&nbsp;not&nbsp;available,75.0
1437882.AZRU01000033_gene507,AZRU01000033_gene507,annotation&nbsp;not&nbsp;available,75.0
1437882.AZRU01000028_gene729,radA,DNA&nbsp;repair&nbsp;protein&nbsp;RadA,75.0
1437882.AZRU01000064_gene7064,AZRU01000064_gene7064,annotation&nbsp;not&nbsp;available,75.0
1437882.AZRU01000007_gene3078,ileS,Isoleucine--tRNA&nbsp;ligase,75.0
1437882.AZRU01000067_gene5432,AZRU01000067_gene5432,annotation&nbsp;not&nbsp;available,75.0
1437882.AZRU01000008_gene2910,AZRU01000008_gene2910,annotation&nbsp;not&nbsp;available,75.0
1437882.AZRU01000015_gene3412,AZRU01000015_gene3412,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000002_gene2426,AZRU01000002_gene2426,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000011_gene3603,AZRU01000011_gene3603,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000057_gene4191,AZRU01000057_gene4191,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000030_gene144,AZRU01000030_gene144,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000122_gene4892,AZRU01000122_gene4892,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000114_gene4964,AZRU01000114_gene4964,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000007_gene3067,AZRU01000007_gene3067,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000012_gene3484,AZRU01000012_gene3484,annotation&nbsp;not&nbsp;available,74.9
1437882.AZRU01000040_gene4708,AZRU01000040_gene4708,annotation&nbsp;not&nbsp;available,74.8
1437882.AZRU01000022_gene6345,AZRU01000022_gene6345,annotation&nbsp;not&nbsp;available,74.8
1437882.AZRU01000002_gene2372,AZRU01000002_gene2372,annotation&nbsp;not&nbsp;available,74.8
1437882.AZRU01000055_gene3736,AZRU01000055_gene3736,annotation&nbsp;not&nbsp;available,74.8
1437882.AZRU01000142_gene1235,AZRU01000142_gene1235,annotation&nbsp;not&nbsp;available,74.8
1437882.AZRU01000155_gene4338,AZRU01000155_gene4338,annotation&nbsp;not&nbsp;available,74.7
1437882.AZRU01000004_gene1972,AZRU01000004_gene1972,annotation&nbsp;not&nbsp;available,74.7
1437882.AZRU01000012_gene3471,AZRU01000012_gene3471,annotation&nbsp;not&nbsp;available,74.7
1437882.AZRU01000054_gene3688,AZRU01000054_gene3688,annotation&nbsp;not&nbsp;available,74.7
1437882.AZRU01000010_gene605,AZRU01000010_gene605,annotation&nbsp;not&nbsp;available,74.6
1437882.AZRU01000061_gene4071,AZRU01000061_gene4071,Flagellar&nbsp;P-ring&nbsp;protein,74.6
1437882.AZRU01000001_gene2159,AZRU01000001_gene2159,annotation&nbsp;not&nbsp;available,74.6
1437882.AZRU01000003_gene1784,AZRU01000003_gene1784,annotation&nbsp;not&nbsp;available,74.6
1437882.AZRU01000020_gene6179,AZRU01000020_gene6179,annotation&nbsp;not&nbsp;available,74.6
1437882.AZRU01000060_gene4092,AZRU01000060_gene4092,Chemotaxis&nbsp;protein&nbsp;methyltransferase,74.6
1437882.AZRU01000002_gene2294,AZRU01000002_gene2294,annotation&nbsp;not&nbsp;available,74.6
1437882.AZRU01000094_gene1171,AZRU01000094_gene1171,annotation&nbsp;not&nbsp;available,74.6
1437882.AZRU01000014_gene3150,AZRU01000014_gene3150,annotation&nbsp;not&nbsp;available,74.6
1437882.AZRU01000051_gene5357,ccmA,Cytochrome&nbsp;c&nbsp;biogenesis&nbsp;ATP-binding&nbsp;export&nbsp;protein&nbsp;CcmA,74.6
1437882.AZRU01000016_gene3290,uraD,annotation&nbsp;not&nbsp;available,74.5
1437882.AZRU01000050_gene5285,AZRU01000050_gene5285,annotation&nbsp;not&nbsp;available,74.5
1437882.AZRU01000063_gene667,AZRU01000063_gene667,annotation&nbsp;not&nbsp;available,74.5
1437882.AZRU01000043_gene4856,AZRU01000043_gene4856,annotation&nbsp;not&nbsp;available,74.5
1437882.AZRU01000093_gene1281,AZRU01000093_gene1281,annotation&nbsp;not&nbsp;available,74.5
1437882.AZRU01000034_gene400,AZRU01000034_gene400,annotation&nbsp;not&nbsp;available,74.5
1437882.AZRU01000022_gene6292,AZRU01000022_gene6292,annotation&nbsp;not&nbsp;available,74.5
1437882.AZRU01000008_gene2851,AZRU01000008_gene2851,annotation&nbsp;not&nbsp;available,74.4
1437882.AZRU01000022_gene6297,AZRU01000022_gene6297,annotation&nbsp;not&nbsp;available,74.4
1437882.AZRU01000103_gene3897,rpoC,DNA-directed&nbsp;RNA&nbsp;polymerase&nbsp;subunit&nbsp;beta',74.4
1437882.AZRU01000027_gene829,AZRU01000027_gene829,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000002_gene2254,AZRU01000002_gene2254,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000060_gene4109,AZRU01000060_gene4109,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000006_gene1476,AZRU01000006_gene1476,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000026_gene5934,AZRU01000026_gene5934,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000022_gene6288,AZRU01000022_gene6288,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000107_gene2830,ilvB,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000122_gene4895,AZRU01000122_gene4895,annotation&nbsp;not&nbsp;available,74.3
1437882.AZRU01000040_gene4681,AZRU01000040_gene4681,annotation&nbsp;not&nbsp;available,74.2
1437882.AZRU01000023_gene5635,AZRU01000023_gene5635,annotation&nbsp;not&nbsp;available,74.2
1437882.AZRU01000002_gene2379,AZRU01000002_gene2379,annotation&nbsp;not&nbsp;available,74.2
1437882.AZRU01000012_gene3499,AZRU01000012_gene3499,annotation&nbsp;not&nbsp;available,74.1
1437882.AZRU01000037_gene4397,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,74.1
1437882.AZRU01000040_gene4690,AZRU01000040_gene4690,annotation&nbsp;not&nbsp;available,74.1
1437882.AZRU01000028_gene736,AZRU01000028_gene736,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,74.1
1437882.AZRU01000005_gene1405,AZRU01000005_gene1405,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000010_gene620,AZRU01000010_gene620,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000072_gene4743,AZRU01000072_gene4743,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000040_gene4671,AZRU01000040_gene4671,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000004_gene1833,AZRU01000004_gene1833,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000010_gene557,nadA,Quinolinate&nbsp;synthase&nbsp;A,74.0
1437882.AZRU01000046_gene5133,AZRU01000046_gene5133,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000089_gene7021,AZRU01000089_gene7021,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000038_gene5471,AZRU01000038_gene5471,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000020_gene6136,AZRU01000020_gene6136,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000211_gene2471,AZRU01000211_gene2471,annotation&nbsp;not&nbsp;available,74.0
1437882.AZRU01000165_gene5532,AZRU01000165_gene5532,annotation&nbsp;not&nbsp;available,73.9
1437882.AZRU01000030_gene132,AZRU01000030_gene132,annotation&nbsp;not&nbsp;available,73.9
1437882.AZRU01000065_gene6881,AZRU01000065_gene6881,annotation&nbsp;not&nbsp;available,73.9
1437882.AZRU01000043_gene4822,AZRU01000043_gene4822,annotation&nbsp;not&nbsp;available,73.9
1437882.AZRU01000044_gene6604,AZRU01000044_gene6604,annotation&nbsp;not&nbsp;available,73.8
1437882.AZRU01000008_gene2866,AZRU01000008_gene2866,annotation&nbsp;not&nbsp;available,73.8
1437882.AZRU01000013_gene6919,AZRU01000013_gene6919,annotation&nbsp;not&nbsp;available,73.8
1437882.AZRU01000010_gene551,tolA,annotation&nbsp;not&nbsp;available,73.8
1437882.AZRU01000048_gene5175,AZRU01000048_gene5175,annotation&nbsp;not&nbsp;available,73.7
1437882.AZRU01000045_gene4793,AZRU01000045_gene4793,annotation&nbsp;not&nbsp;available,73.7
1437882.AZRU01000019_gene6070,AZRU01000019_gene6070,annotation&nbsp;not&nbsp;available,73.7
1437882.AZRU01000097_gene1089,AZRU01000097_gene1089,annotation&nbsp;not&nbsp;available,73.7
1437882.AZRU01000024_gene5751,AZRU01000024_gene5751,annotation&nbsp;not&nbsp;available,73.7
1437882.AZRU01000037_gene4389,AZRU01000037_gene4389,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000023_gene5708,AZRU01000023_gene5708,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000044_gene6617,AZRU01000044_gene6617,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000042_gene4570,AZRU01000042_gene4570,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000061_gene4079,AZRU01000061_gene4079,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000012_gene3483,AZRU01000012_gene3483,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000012_gene3543,AZRU01000012_gene3543,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000091_gene4863,AZRU01000091_gene4863,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000043_gene4807,prfC,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;3,73.6
1437882.AZRU01000001_gene2055,AZRU01000001_gene2055,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000043_gene4835,AZRU01000043_gene4835,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000066_gene6742,AZRU01000066_gene6742,annotation&nbsp;not&nbsp;available,73.6
1437882.AZRU01000018_gene6469,AZRU01000018_gene6469,annotation&nbsp;not&nbsp;available,73.5
1437882.AZRU01000004_gene1832,AZRU01000004_gene1832,annotation&nbsp;not&nbsp;available,73.5
1437882.AZRU01000004_gene1918,AZRU01000004_gene1918,annotation&nbsp;not&nbsp;available,73.5
1437882.AZRU01000026_gene5963,AZRU01000026_gene5963,annotation&nbsp;not&nbsp;available,73.5
1437882.AZRU01000198_gene3923,AZRU01000198_gene3923,annotation&nbsp;not&nbsp;available,73.5
1437882.AZRU01000103_gene3894,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,73.4
1437882.AZRU01000109_gene3111,AZRU01000109_gene3111,annotation&nbsp;not&nbsp;available,73.4
1437882.AZRU01000007_gene2985,AZRU01000007_gene2985,annotation&nbsp;not&nbsp;available,73.4
1437882.AZRU01000013_gene6957,AZRU01000013_gene6957,annotation&nbsp;not&nbsp;available,73.4
1437882.AZRU01000008_gene2891,AZRU01000008_gene2891,annotation&nbsp;not&nbsp;available,73.4
1437882.AZRU01000059_gene4124,AZRU01000059_gene4124,annotation&nbsp;not&nbsp;available,73.4
1437882.AZRU01000059_gene4139,AZRU01000059_gene4139,annotation&nbsp;not&nbsp;available,73.4
