936136.ARRT01000006_gene4939,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,98.9
936136.ARRT01000006_gene3149,ARRT01000006_gene3149,annotation&nbsp;not&nbsp;available,62.5
936136.ARRT01000006_gene6102,dut,Deoxyuridine&nbsp;5'-triphosphate&nbsp;nucleotidohydrolase,62.5
936136.ARRT01000006_gene3101,ARRT01000006_gene3101,annotation&nbsp;not&nbsp;available,62.5
936136.ARRT01000006_gene3779,ARRT01000006_gene3779,annotation&nbsp;not&nbsp;available,62.4
936136.ARRT01000006_gene5039,ARRT01000006_gene5039,annotation&nbsp;not&nbsp;available,62.4
936136.ARRT01000006_gene3551,ARRT01000006_gene3551,Fumarate&nbsp;hydratase&nbsp;class&nbsp;I,62.4
936136.ARRT01000006_gene3918,ARRT01000006_gene3918,annotation&nbsp;not&nbsp;available,62.4
936136.ARRT01000006_gene4856,ARRT01000006_gene4856,annotation&nbsp;not&nbsp;available,62.3
936136.ARRT01000006_gene4096,ARRT01000006_gene4096,annotation&nbsp;not&nbsp;available,62.3
936136.ARRT01000006_gene5008,ARRT01000006_gene5008,annotation&nbsp;not&nbsp;available,62.3
936136.ARRT01000006_gene4536,oppD,annotation&nbsp;not&nbsp;available,62.3
936136.ARRT01000006_gene2728,ARRT01000006_gene2728,DNA-binding&nbsp;protein&nbsp;HRL53,62.2
936136.ARRT01000006_gene4136,thyA,Thymidylate&nbsp;synthase,62.2
936136.ARRT01000006_gene4533,ARRT01000006_gene4533,annotation&nbsp;not&nbsp;available,62.2
936136.ARRT01000006_gene2406,ARRT01000006_gene2406,annotation&nbsp;not&nbsp;available,62.2
936136.ARRT01000006_gene4829,ARRT01000006_gene4829,annotation&nbsp;not&nbsp;available,62.2
936136.ARRT01000006_gene4205,pfp,Pyrophosphate--fructose&nbsp;6-phosphate&nbsp;1-phosphotransferase,62.2
936136.ARRT01000006_gene5500,ARRT01000006_gene5500,annotation&nbsp;not&nbsp;available,62.2
936136.ARRT01000007_gene908,ARRT01000007_gene908,annotation&nbsp;not&nbsp;available,62.2
936136.ARRT01000006_gene3301,ARRT01000006_gene3301,annotation&nbsp;not&nbsp;available,62.2
936136.ARRT01000006_gene2610,ARRT01000006_gene2610,annotation&nbsp;not&nbsp;available,62.1
936136.ARRT01000006_gene5282,gloB,Hydroxyacylglutathione&nbsp;hydrolase,62.1
936136.ARRT01000007_gene1180,ARRT01000007_gene1180,annotation&nbsp;not&nbsp;available,62.1
936136.ARRT01000006_gene5501,ARRT01000006_gene5501,Heme&nbsp;exporter&nbsp;protein&nbsp;B,62.1
936136.ARRT01000003_gene6272,ARRT01000003_gene6272,annotation&nbsp;not&nbsp;available,62.1
936136.ARRT01000006_gene1554,ARRT01000006_gene1554,annotation&nbsp;not&nbsp;available,62.1
936136.ARRT01000006_gene3148,ARRT01000006_gene3148,annotation&nbsp;not&nbsp;available,62.1
936136.ARRT01000006_gene4171,ARRT01000006_gene4171,annotation&nbsp;not&nbsp;available,62.1
936136.ARRT01000006_gene4890,ARRT01000006_gene4890,annotation&nbsp;not&nbsp;available,62.1
936136.ARRT01000006_gene4339,kbl,2-amino-3-ketobutyrate&nbsp;coenzyme&nbsp;A&nbsp;ligase,62.1
936136.ARRT01000006_gene5255,ARRT01000006_gene5255,annotation&nbsp;not&nbsp;available,62.0
936136.ARRT01000006_gene3973,ARRT01000006_gene3973,annotation&nbsp;not&nbsp;available,62.0
936136.ARRT01000006_gene2115,ARRT01000006_gene2115,annotation&nbsp;not&nbsp;available,62.0
936136.ARRT01000006_gene3841,ARRT01000006_gene3841,annotation&nbsp;not&nbsp;available,62.0
936136.ARRT01000003_gene6263,ARRT01000003_gene6263,annotation&nbsp;not&nbsp;available,62.0
936136.ARRT01000006_gene4955,ARRT01000006_gene4955,annotation&nbsp;not&nbsp;available,62.0
936136.ARRT01000006_gene5125,xylA,annotation&nbsp;not&nbsp;available,61.9
936136.ARRT01000006_gene1457,ARRT01000006_gene1457,annotation&nbsp;not&nbsp;available,61.9
936136.ARRT01000006_gene5691,prpE,annotation&nbsp;not&nbsp;available,61.9
936136.ARRT01000006_gene3196,ARRT01000006_gene3196,annotation&nbsp;not&nbsp;available,61.9
936136.ARRT01000007_gene1051,ARRT01000007_gene1051,annotation&nbsp;not&nbsp;available,61.9
936136.ARRT01000006_gene5547,ARRT01000006_gene5547,annotation&nbsp;not&nbsp;available,61.9
936136.ARRT01000006_gene3641,ARRT01000006_gene3641,annotation&nbsp;not&nbsp;available,61.8
936136.ARRT01000006_gene2858,ARRT01000006_gene2858,annotation&nbsp;not&nbsp;available,61.8
936136.ARRT01000006_gene5092,ARRT01000006_gene5092,ABC&nbsp;transporter&nbsp;substrate-binding&nbsp;protein,61.8
936136.ARRT01000007_gene912,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,61.8
936136.ARRT01000006_gene5945,ARRT01000006_gene5945,annotation&nbsp;not&nbsp;available,61.8
936136.ARRT01000006_gene1630,ARRT01000006_gene1630,annotation&nbsp;not&nbsp;available,61.8
936136.ARRT01000006_gene2436,ARRT01000006_gene2436,annotation&nbsp;not&nbsp;available,61.8
936136.ARRT01000007_gene1289,ARRT01000007_gene1289,annotation&nbsp;not&nbsp;available,61.8
936136.ARRT01000006_gene2140,ARRT01000006_gene2140,annotation&nbsp;not&nbsp;available,61.8
936136.ARRT01000006_gene5992,pheS,annotation&nbsp;not&nbsp;available,61.7
936136.ARRT01000006_gene3753,ARRT01000006_gene3753,annotation&nbsp;not&nbsp;available,61.7
936136.ARRT01000006_gene3600,ARRT01000006_gene3600,annotation&nbsp;not&nbsp;available,61.7
936136.ARRT01000006_gene2744,ARRT01000006_gene2744,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,61.7
936136.ARRT01000006_gene5061,ARRT01000006_gene5061,annotation&nbsp;not&nbsp;available,61.7
936136.ARRT01000006_gene4255,ARRT01000006_gene4255,annotation&nbsp;not&nbsp;available,61.7
936136.ARRT01000006_gene3211,ARRT01000006_gene3211,annotation&nbsp;not&nbsp;available,61.6
936136.ARRT01000006_gene4173,ligA,DNA&nbsp;ligase,61.6
936136.ARRT01000006_gene5613,ARRT01000006_gene5613,annotation&nbsp;not&nbsp;available,61.6
936136.ARRT01000006_gene2992,tatB,Sec-independent&nbsp;protein&nbsp;translocase&nbsp;protein&nbsp;TatB,61.6
936136.ARRT01000006_gene4703,ARRT01000006_gene4703,annotation&nbsp;not&nbsp;available,61.6
936136.ARRT01000002_gene479,ARRT01000002_gene479,annotation&nbsp;not&nbsp;available,61.6
936136.ARRT01000002_gene871,ARRT01000002_gene871,annotation&nbsp;not&nbsp;available,61.6
936136.ARRT01000005_gene228,ARRT01000005_gene228,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000002_gene253,ARRT01000002_gene253,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000006_gene2865,ARRT01000006_gene2865,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000006_gene3285,ARRT01000006_gene3285,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000006_gene5858,ARRT01000006_gene5858,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000002_gene475,ARRT01000002_gene475,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000006_gene3461,ARRT01000006_gene3461,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000002_gene283,ARRT01000002_gene283,annotation&nbsp;not&nbsp;available,61.5
936136.ARRT01000006_gene5648,nadD,Probable&nbsp;nicotinate-nucleotide&nbsp;adenylyltransferase,61.4
936136.ARRT01000006_gene3065,ARRT01000006_gene3065,annotation&nbsp;not&nbsp;available,61.4
936136.ARRT01000006_gene6054,ARRT01000006_gene6054,annotation&nbsp;not&nbsp;available,61.4
936136.ARRT01000006_gene5200,ARRT01000006_gene5200,annotation&nbsp;not&nbsp;available,61.3
936136.ARRT01000004_gene6643,ARRT01000004_gene6643,annotation&nbsp;not&nbsp;available,61.3
936136.ARRT01000006_gene2596,ARRT01000006_gene2596,annotation&nbsp;not&nbsp;available,61.3
936136.ARRT01000003_gene6286,ARRT01000003_gene6286,annotation&nbsp;not&nbsp;available,61.3
936136.ARRT01000006_gene3286,ARRT01000006_gene3286,annotation&nbsp;not&nbsp;available,61.3
936136.ARRT01000006_gene4807,ARRT01000006_gene4807,annotation&nbsp;not&nbsp;available,61.3
936136.ARRT01000006_gene5838,pnp,Polyribonucleotide&nbsp;nucleotidyltransferase,61.2
936136.ARRT01000006_gene5220,clpB,Chaperone&nbsp;protein&nbsp;ClpB,61.2
936136.ARRT01000006_gene4578,ARRT01000006_gene4578,annotation&nbsp;not&nbsp;available,61.2
936136.ARRT01000006_gene2425,ARRT01000006_gene2425,annotation&nbsp;not&nbsp;available,61.2
936136.ARRT01000006_gene1582,hisD,Histidinol&nbsp;dehydrogenase,61.2
936136.ARRT01000006_gene4029,ARRT01000006_gene4029,annotation&nbsp;not&nbsp;available,61.2
936136.ARRT01000006_gene5871,dnaJ,Chaperone&nbsp;protein&nbsp;DnaJ,61.2
936136.ARRT01000006_gene3567,ARRT01000006_gene3567,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000002_gene839,ARRT01000002_gene839,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene1754,ARRT01000006_gene1754,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene1979,ARRT01000006_gene1979,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000002_gene600,ARRT01000002_gene600,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene2939,ARRT01000006_gene2939,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene5392,ARRT01000006_gene5392,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000002_gene763,ARRT01000002_gene763,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene3417,gcvT,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene5954,ARRT01000006_gene5954,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene4601,ARRT01000006_gene4601,annotation&nbsp;not&nbsp;available,61.1
936136.ARRT01000006_gene3586,ARRT01000006_gene3586,annotation&nbsp;not&nbsp;available,61.0
936136.ARRT01000006_gene2012,ispH,4-hydroxy-3-methylbut-2-enyl&nbsp;diphosphate&nbsp;reductase,61.0
936136.ARRT01000006_gene3423,ARRT01000006_gene3423,annotation&nbsp;not&nbsp;available,61.0
936136.ARRT01000007_gene1136,ARRT01000007_gene1136,annotation&nbsp;not&nbsp;available,61.0
936136.ARRT01000005_gene133,ARRT01000005_gene133,annotation&nbsp;not&nbsp;available,61.0
936136.ARRT01000006_gene1872,ARRT01000006_gene1872,annotation&nbsp;not&nbsp;available,61.0
936136.ARRT01000006_gene2599,ARRT01000006_gene2599,annotation&nbsp;not&nbsp;available,60.9
936136.ARRT01000006_gene4915,ARRT01000006_gene4915,Phosphoserine&nbsp;aminotransferase,60.9
936136.ARRT01000002_gene667,ARRT01000002_gene667,annotation&nbsp;not&nbsp;available,60.9
936136.ARRT01000006_gene5388,ARRT01000006_gene5388,annotation&nbsp;not&nbsp;available,60.9
936136.ARRT01000006_gene4803,ARRT01000006_gene4803,annotation&nbsp;not&nbsp;available,60.9
936136.ARRT01000002_gene433,ARRT01000002_gene433,annotation&nbsp;not&nbsp;available,60.9
936136.ARRT01000006_gene4405,prs,Ribose-phosphate&nbsp;pyrophosphokinase,60.8
936136.ARRT01000006_gene1535,ARRT01000006_gene1535,annotation&nbsp;not&nbsp;available,60.8
936136.ARRT01000006_gene3272,ARRT01000006_gene3272,annotation&nbsp;not&nbsp;available,60.8
936136.ARRT01000003_gene6298,ARRT01000003_gene6298,annotation&nbsp;not&nbsp;available,60.8
936136.ARRT01000007_gene1245,ARRT01000007_gene1245,annotation&nbsp;not&nbsp;available,60.8
936136.ARRT01000006_gene2700,ARRT01000006_gene2700,annotation&nbsp;not&nbsp;available,60.7
936136.ARRT01000006_gene5263,ARRT01000006_gene5263,annotation&nbsp;not&nbsp;available,60.7
936136.ARRT01000006_gene2539,ARRT01000006_gene2539,annotation&nbsp;not&nbsp;available,60.7
936136.ARRT01000006_gene4906,ARRT01000006_gene4906,annotation&nbsp;not&nbsp;available,60.7
936136.ARRT01000006_gene1388,ARRT01000006_gene1388,RNA&nbsp;polymerase&nbsp;sigma-54&nbsp;factor,60.7
936136.ARRT01000006_gene1660,ARRT01000006_gene1660,annotation&nbsp;not&nbsp;available,60.7
936136.ARRT01000007_gene923,ARRT01000007_gene923,annotation&nbsp;not&nbsp;available,60.7
936136.ARRT01000006_gene4386,ARRT01000006_gene4386,annotation&nbsp;not&nbsp;available,60.6
936136.ARRT01000007_gene1030,ARRT01000007_gene1030,annotation&nbsp;not&nbsp;available,60.6
936136.ARRT01000006_gene2742,ARRT01000006_gene2742,annotation&nbsp;not&nbsp;available,60.6
936136.ARRT01000002_gene848,ARRT01000002_gene848,annotation&nbsp;not&nbsp;available,60.6
936136.ARRT01000006_gene2780,ARRT01000006_gene2780,annotation&nbsp;not&nbsp;available,60.6
936136.ARRT01000006_gene5186,ARRT01000006_gene5186,annotation&nbsp;not&nbsp;available,60.6
936136.ARRT01000006_gene3088,frr,Ribosome-recycling&nbsp;factor,60.6
936136.ARRT01000006_gene5451,ARRT01000006_gene5451,annotation&nbsp;not&nbsp;available,60.5
936136.ARRT01000006_gene5767,ARRT01000006_gene5767,annotation&nbsp;not&nbsp;available,60.5
936136.ARRT01000006_gene5525,ARRT01000006_gene5525,annotation&nbsp;not&nbsp;available,60.5
936136.ARRT01000006_gene4659,ARRT01000006_gene4659,annotation&nbsp;not&nbsp;available,60.4
936136.ARRT01000006_gene4905,ARRT01000006_gene4905,annotation&nbsp;not&nbsp;available,60.4
936136.ARRT01000006_gene5804,ARRT01000006_gene5804,annotation&nbsp;not&nbsp;available,60.4
936136.ARRT01000006_gene3587,ARRT01000006_gene3587,annotation&nbsp;not&nbsp;available,60.4
936136.ARRT01000006_gene1567,ARRT01000006_gene1567,annotation&nbsp;not&nbsp;available,60.4
936136.ARRT01000001_gene14,ARRT01000001_gene14,annotation&nbsp;not&nbsp;available,60.3
936136.ARRT01000006_gene2120,ARRT01000006_gene2120,annotation&nbsp;not&nbsp;available,60.3
936136.ARRT01000002_gene530,ARRT01000002_gene530,annotation&nbsp;not&nbsp;available,60.3
936136.ARRT01000006_gene1722,ARRT01000006_gene1722,annotation&nbsp;not&nbsp;available,60.3
936136.ARRT01000006_gene5099,ARRT01000006_gene5099,annotation&nbsp;not&nbsp;available,60.3
936136.ARRT01000002_gene826,ARRT01000002_gene826,annotation&nbsp;not&nbsp;available,60.3
936136.ARRT01000006_gene3040,ARRT01000006_gene3040,3-dehydroquinate&nbsp;dehydratase,60.3
936136.ARRT01000006_gene4984,ARRT01000006_gene4984,annotation&nbsp;not&nbsp;available,60.2
936136.ARRT01000006_gene4686,ARRT01000006_gene4686,annotation&nbsp;not&nbsp;available,60.2
936136.ARRT01000006_gene4918,ftsH,ATP-dependent&nbsp;zinc&nbsp;metalloprotease&nbsp;FtsH,60.2
936136.ARRT01000007_gene935,ARRT01000007_gene935,annotation&nbsp;not&nbsp;available,60.2
936136.ARRT01000006_gene5645,obg,GTPase&nbsp;Obg,60.2
936136.ARRT01000007_gene922,ARRT01000007_gene922,annotation&nbsp;not&nbsp;available,60.1
936136.ARRT01000006_gene5515,trmD,tRNA&nbsp;(guanine-N(1)-)-methyltransferase,60.1
936136.ARRT01000006_gene4341,ARRT01000006_gene4341,annotation&nbsp;not&nbsp;available,60.1
936136.ARRT01000007_gene936,ARRT01000007_gene936,annotation&nbsp;not&nbsp;available,60.1
936136.ARRT01000006_gene4723,ureC,annotation&nbsp;not&nbsp;available,60.1
936136.ARRT01000006_gene5089,ARRT01000006_gene5089,annotation&nbsp;not&nbsp;available,60.1
936136.ARRT01000006_gene1653,ARRT01000006_gene1653,annotation&nbsp;not&nbsp;available,60.1
936136.ARRT01000006_gene6128,ARRT01000006_gene6128,Probable&nbsp;protein&nbsp;kinase&nbsp;UbiB,60.0
936136.ARRT01000006_gene5296,aroK,Shikimate&nbsp;kinase,60.0
936136.ARRT01000006_gene5442,ARRT01000006_gene5442,annotation&nbsp;not&nbsp;available,60.0
936136.ARRT01000004_gene6514,ARRT01000004_gene6514,annotation&nbsp;not&nbsp;available,60.0
936136.ARRT01000006_gene3215,ARRT01000006_gene3215,Glutamine--fructose-6-phosphate&nbsp;aminotransferase&nbsp;[isomerizing],60.0
936136.ARRT01000006_gene2308,ARRT01000006_gene2308,annotation&nbsp;not&nbsp;available,60.0
936136.ARRT01000006_gene4818,ARRT01000006_gene4818,annotation&nbsp;not&nbsp;available,60.0
936136.ARRT01000002_gene765,ARRT01000002_gene765,annotation&nbsp;not&nbsp;available,60.0
936136.ARRT01000007_gene1003,ARRT01000007_gene1003,annotation&nbsp;not&nbsp;available,59.9
936136.ARRT01000006_gene4763,purA,Adenylosuccinate&nbsp;synthetase,59.9
936136.ARRT01000004_gene6586,ARRT01000004_gene6586,annotation&nbsp;not&nbsp;available,59.9
936136.ARRT01000005_gene91,ARRT01000005_gene91,annotation&nbsp;not&nbsp;available,59.9
936136.ARRT01000006_gene3087,pyrH,Uridylate&nbsp;kinase,59.9
936136.ARRT01000006_gene3972,ARRT01000006_gene3972,annotation&nbsp;not&nbsp;available,59.9
936136.ARRT01000006_gene2521,ARRT01000006_gene2521,annotation&nbsp;not&nbsp;available,59.9
936136.ARRT01000006_gene5081,ARRT01000006_gene5081,annotation&nbsp;not&nbsp;available,59.9
936136.ARRT01000006_gene2860,ARRT01000006_gene2860,annotation&nbsp;not&nbsp;available,59.8
936136.ARRT01000006_gene2595,ARRT01000006_gene2595,annotation&nbsp;not&nbsp;available,59.8
936136.ARRT01000006_gene1771,ARRT01000006_gene1771,annotation&nbsp;not&nbsp;available,59.7
936136.ARRT01000006_gene1834,ARRT01000006_gene1834,annotation&nbsp;not&nbsp;available,59.7
936136.ARRT01000006_gene3937,ARRT01000006_gene3937,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,59.7
936136.ARRT01000006_gene5872,dnaK,Chaperone&nbsp;protein&nbsp;DnaK,59.7
936136.ARRT01000002_gene270,ARRT01000002_gene270,annotation&nbsp;not&nbsp;available,59.6
936136.ARRT01000002_gene533,ARRT01000002_gene533,annotation&nbsp;not&nbsp;available,59.6
936136.ARRT01000005_gene233,ARRT01000005_gene233,annotation&nbsp;not&nbsp;available,59.6
936136.ARRT01000006_gene5064,ARRT01000006_gene5064,"Alpha-1,4&nbsp;glucan&nbsp;phosphorylase",59.6
936136.ARRT01000006_gene3591,ARRT01000006_gene3591,Deoxyribose-phosphate&nbsp;aldolase,59.6
936136.ARRT01000006_gene3500,ARRT01000006_gene3500,Dihydropteroate&nbsp;synthase,59.6
936136.ARRT01000006_gene4668,ARRT01000006_gene4668,annotation&nbsp;not&nbsp;available,59.6
936136.ARRT01000002_gene450,ARRT01000002_gene450,annotation&nbsp;not&nbsp;available,59.6
936136.ARRT01000006_gene3986,ARRT01000006_gene3986,annotation&nbsp;not&nbsp;available,59.6
936136.ARRT01000006_gene5599,rpmF,annotation&nbsp;not&nbsp;available,59.5
936136.ARRT01000006_gene5040,ARRT01000006_gene5040,annotation&nbsp;not&nbsp;available,59.5
936136.ARRT01000006_gene5174,araG,Arabinose&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;AraG,59.5
936136.ARRT01000002_gene405,ARRT01000002_gene405,annotation&nbsp;not&nbsp;available,59.5
936136.ARRT01000007_gene1078,ARRT01000007_gene1078,annotation&nbsp;not&nbsp;available,59.4
936136.ARRT01000006_gene1399,truA,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;A,59.4
936136.ARRT01000006_gene5406,atpG,ATP&nbsp;synthase&nbsp;gamma&nbsp;chain,59.4
936136.ARRT01000004_gene6553,ARRT01000004_gene6553,annotation&nbsp;not&nbsp;available,59.4
936136.ARRT01000006_gene3178,ARRT01000006_gene3178,annotation&nbsp;not&nbsp;available,59.4
936136.ARRT01000006_gene2456,ARRT01000006_gene2456,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000006_gene5943,ARRT01000006_gene5943,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000007_gene909,ARRT01000007_gene909,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000003_gene6369,ARRT01000003_gene6369,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000006_gene5873,ARRT01000006_gene5873,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000006_gene3510,ARRT01000006_gene3510,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000002_gene790,ARRT01000002_gene790,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000004_gene6488,ARRT01000004_gene6488,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000002_gene739,ARRT01000002_gene739,annotation&nbsp;not&nbsp;available,59.3
936136.ARRT01000001_gene29,ARRT01000001_gene29,annotation&nbsp;not&nbsp;available,59.2
936136.ARRT01000006_gene2233,ARRT01000006_gene2233,annotation&nbsp;not&nbsp;available,59.2
936136.ARRT01000006_gene2929,ARRT01000006_gene2929,annotation&nbsp;not&nbsp;available,59.2
936136.ARRT01000006_gene5778,ARRT01000006_gene5778,annotation&nbsp;not&nbsp;available,59.2
936136.ARRT01000006_gene3526,ARRT01000006_gene3526,annotation&nbsp;not&nbsp;available,59.1
936136.ARRT01000006_gene6067,ARRT01000006_gene6067,annotation&nbsp;not&nbsp;available,59.1
936136.ARRT01000006_gene2659,nusB,Transcription&nbsp;antitermination&nbsp;protein&nbsp;NusB,59.1
936136.ARRT01000005_gene137,ARRT01000005_gene137,annotation&nbsp;not&nbsp;available,59.1
936136.ARRT01000006_gene1644,ARRT01000006_gene1644,annotation&nbsp;not&nbsp;available,59.0
936136.ARRT01000006_gene2736,ARRT01000006_gene2736,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;B,59.0
936136.ARRT01000003_gene6372,ARRT01000003_gene6372,annotation&nbsp;not&nbsp;available,59.0
936136.ARRT01000007_gene1053,ARRT01000007_gene1053,annotation&nbsp;not&nbsp;available,59.0
936136.ARRT01000006_gene2593,ARRT01000006_gene2593,annotation&nbsp;not&nbsp;available,59.0
936136.ARRT01000006_gene3031,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln)&nbsp;amidotransferase&nbsp;subunit&nbsp;B,59.0
936136.ARRT01000006_gene2263,cysN,Sulfate&nbsp;adenylyltransferase&nbsp;subunit&nbsp;1,59.0
936136.ARRT01000004_gene6408,ARRT01000004_gene6408,annotation&nbsp;not&nbsp;available,59.0
936136.ARRT01000006_gene2047,ARRT01000006_gene2047,annotation&nbsp;not&nbsp;available,59.0
936136.ARRT01000006_gene4760,ARRT01000006_gene4760,Pseudouridine&nbsp;synthase,58.9
936136.ARRT01000002_gene276,ARRT01000002_gene276,annotation&nbsp;not&nbsp;available,58.9
936136.ARRT01000006_gene1835,ARRT01000006_gene1835,annotation&nbsp;not&nbsp;available,58.9
936136.ARRT01000006_gene1853,cpn10-1,10&nbsp;kDa&nbsp;chaperonin,58.9
936136.ARRT01000006_gene2332,ARRT01000006_gene2332,annotation&nbsp;not&nbsp;available,58.9
936136.ARRT01000006_gene2651,glyA,Serine&nbsp;hydroxymethyltransferase,58.9
936136.ARRT01000006_gene1727,ARRT01000006_gene1727,annotation&nbsp;not&nbsp;available,58.8
936136.ARRT01000007_gene987,ARRT01000007_gene987,annotation&nbsp;not&nbsp;available,58.8
936136.ARRT01000006_gene1571,ARRT01000006_gene1571,annotation&nbsp;not&nbsp;available,58.8
936136.ARRT01000004_gene6393,ARRT01000004_gene6393,annotation&nbsp;not&nbsp;available,58.8
936136.ARRT01000004_gene6510,ARRT01000004_gene6510,annotation&nbsp;not&nbsp;available,58.8
936136.ARRT01000003_gene6323,ARRT01000003_gene6323,annotation&nbsp;not&nbsp;available,58.8
936136.ARRT01000002_gene502,ARRT01000002_gene502,annotation&nbsp;not&nbsp;available,58.8
936136.ARRT01000002_gene714,ARRT01000002_gene714,annotation&nbsp;not&nbsp;available,58.7
936136.ARRT01000003_gene6346,ARRT01000003_gene6346,annotation&nbsp;not&nbsp;available,58.7
936136.ARRT01000006_gene5653,rsfS,Ribosomal&nbsp;silencing&nbsp;factor&nbsp;RsfS,58.7
936136.ARRT01000006_gene5705,aroE,Shikimate&nbsp;dehydrogenase&nbsp;(NADP(+)),58.6
936136.ARRT01000006_gene3128,ARRT01000006_gene3128,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000006_gene1920,purD,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000006_gene2776,pyrB,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000006_gene3472,ttcA,tRNA-cytidine(32)&nbsp;2-sulfurtransferase,58.6
936136.ARRT01000006_gene5625,ARRT01000006_gene5625,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000006_gene3507,ARRT01000006_gene3507,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000006_gene5571,ARRT01000006_gene5571,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000006_gene5955,ARRT01000006_gene5955,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000006_gene3293,ARRT01000006_gene3293,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000004_gene6484,ARRT01000004_gene6484,annotation&nbsp;not&nbsp;available,58.6
936136.ARRT01000002_gene252,ARRT01000002_gene252,annotation&nbsp;not&nbsp;available,58.5
936136.ARRT01000004_gene6415,ARRT01000004_gene6415,annotation&nbsp;not&nbsp;available,58.5
936136.ARRT01000006_gene5396,ARRT01000006_gene5396,annotation&nbsp;not&nbsp;available,58.5
936136.ARRT01000006_gene2822,rplR,50S&nbsp;ribosomal&nbsp;protein&nbsp;L18,58.5
936136.ARRT01000006_gene3755,ARRT01000006_gene3755,annotation&nbsp;not&nbsp;available,58.5
936136.ARRT01000006_gene5389,fdhD,Sulfur&nbsp;carrier&nbsp;protein&nbsp;FdhD,58.5
936136.ARRT01000006_gene1668,ARRT01000006_gene1668,annotation&nbsp;not&nbsp;available,58.5
936136.ARRT01000006_gene5017,ARRT01000006_gene5017,annotation&nbsp;not&nbsp;available,58.5
936136.ARRT01000006_gene3883,ARRT01000006_gene3883,annotation&nbsp;not&nbsp;available,58.5
936136.ARRT01000006_gene1663,ARRT01000006_gene1663,Flagellar&nbsp;M-ring&nbsp;protein,58.4
936136.ARRT01000007_gene1076,ARRT01000007_gene1076,annotation&nbsp;not&nbsp;available,58.4
936136.ARRT01000006_gene2795,rplA,50S&nbsp;ribosomal&nbsp;protein&nbsp;L1,58.4
936136.ARRT01000002_gene294,ARRT01000002_gene294,annotation&nbsp;not&nbsp;available,58.4
936136.ARRT01000006_gene4134,ARRT01000006_gene4134,Protein&nbsp;HflK,58.3
936136.ARRT01000006_gene1656,ARRT01000006_gene1656,annotation&nbsp;not&nbsp;available,58.3
936136.ARRT01000003_gene6147,ARRT01000003_gene6147,annotation&nbsp;not&nbsp;available,58.3
936136.ARRT01000006_gene4792,ARRT01000006_gene4792,annotation&nbsp;not&nbsp;available,58.3
936136.ARRT01000006_gene2914,ARRT01000006_gene2914,annotation&nbsp;not&nbsp;available,58.3
936136.ARRT01000005_gene232,ARRT01000005_gene232,annotation&nbsp;not&nbsp;available,58.3
936136.ARRT01000002_gene324,ARRT01000002_gene324,annotation&nbsp;not&nbsp;available,58.3
936136.ARRT01000006_gene4586,ARRT01000006_gene4586,annotation&nbsp;not&nbsp;available,58.2
